Type of Noise,junk,PSNR_noisy,PSNR_denoisy,SSIM_noisy,SSIM_denoisy,CW-SSIM_noisy,CW-SSIM_denoisy,unique_noisy,unique_denoisy,ms_unique_noisy,ms_unique_denoisy,csv_noisy,csv_denoisy,summer_noisy,summer_denoisy
deco_lvl_1,0,30.739100839735038,32.65226716659954,0.9745204521751751,0.9715430560284346,0.9246685482045756,0.9715430560284346,0.7177742835988061,0.7120612954152317,0.8150283593759139,0.812053019872326,0.9722271213952263,0.973512466137182,3.9320306011279427,3.7897369341966214
deco_lvl_1,1,32.73703960209306,34.37582216103159,0.9926148005865008,0.9917636514748251,0.8790197984763172,0.9917636514748251,0.8384136980926629,0.8415184255350935,0.9141415511721077,0.9145087322230444,0.9851759069124709,0.9842749319557483,4.642564731325672,4.583558404273657
deco_lvl_1,2,32.28176654630476,32.81757770419162,0.9921969511355754,0.9911220540051654,0.8588220018326772,0.9911220540051654,0.7852790233771154,0.7800801334936389,0.8808876414365974,0.8784650010912163,0.9811270361201687,0.9806026160747514,3.5034801711158763,3.2638826912906573
deco_lvl_1,3,32.082732766605346,34.1635648215114,0.9859971305985055,0.9826407490752986,0.9730353769692125,0.9826407490752986,0.8166314498358797,0.8166292984445027,0.8771769616816771,0.8761431604311392,0.9770807379557193,0.9788291555605358,4.1763622290400395,4.038326971423801
deco_lvl_1,4,32.27564956464198,35.54781353623547,0.9921439202507726,0.9896459257440903,0.982675269266515,0.9896459257440903,0.8892847188213675,0.8978760388761856,0.914898299573119,0.9194943209228807,0.9807802201351637,0.9830459740613919,4.366583320739538,4.229680761529625
deco_lvl_2,0,29.613579713660773,31.42062522214648,0.9723884333226729,0.9661394238259859,0.9055811096912689,0.9661394238259859,0.6669325044084318,0.6588499132553642,0.7849474167202031,0.7822359379577714,0.9698938309868045,0.9717675707023876,3.8146160895810284,3.399789639230786
deco_lvl_2,1,31.418513540536424,32.74016985988042,0.9928363675487796,0.9914239021730673,0.8857521000701093,0.9914239021730673,0.81734505662888,0.8206146990357909,0.9027153140889075,0.9032703677720624,0.9835998335735173,0.9830568007292116,4.497029485723349,4.413862774931038
deco_lvl_2,2,31.342827407845437,31.377638087404854,0.9919330538743892,0.991201471115201,0.8387910901087251,0.991201471115201,0.6160375248272394,0.6294782959048515,0.8132461206775714,0.8228471402651301,0.9803886018180922,0.9794736272880493,4.182763491929436,3.3135071875669473
deco_lvl_2,3,29.51608837833814,31.564908218617397,0.9821332926559563,0.9713571764880775,0.9537312014877884,0.9713571764880775,0.7196414530502393,0.727980140199069,0.8215963094752753,0.8228203563491846,0.9727198727010901,0.9746689443615164,4.101795484378106,3.6897977214795317
deco_lvl_2,4,29.572554768720323,32.07285768786037,0.9886754445742784,0.9798248438262656,0.9648738256584156,0.9798248438262656,0.7870496005897802,0.8066485090031725,0.853872828738315,0.8631353021576826,0.9755036228522537,0.9774607961109889,4.25948162809195,3.8366724705213855
